Designator,Value,Description,Manufacturer,Quantity,Layer,Part Symbol

"5V, GP19, PCI/SATA","KPT-1608SGC","LED Green 0603 case","KINGBRIGHT","3","Top, Top, Bottom","KPT-1608SGC"
"AUTO START","JS202011CQN","Sub-Miniature Slide Switch","C&K","1","Top","JS202011CQN"
"C1, C44, C45","10p","MLCC SMT Capacitor 10pF 0603","JOHANSON TECHNOLOGY","3","Top, Bottom, Bottom","251R14S100GV4T"
"C2","470n","MLCC SMT Capacitor 470nF 0603","TDK","1","Top","C1608X5R1H474K080AB"
"C3","47u","MLCC SMT Capacitor 47uF 1206","MURATA","1","Top","GRM31CC80J476KE18L"
"C4, C5","22u","Tantalum SMT Capacitor 22uF Case KEMET_C","KEMET","2","Top","T491C226K025AT"
"C6, C11, C32, C46, C47, C48","10n","MLCC SMT Capacitor 10nF 0603","AVX","6","Top, Top, Top, Bottom, Bottom, Bottom","06031C103JAT2A"
"C7","470p","MLCC SMT Capacitor 470pF 0603","AVX","1","Top","06031C471JAT2A"
"C8, C17, C35","10u","Tantalum SMT Capacitor 10uF Case KEMET_A","VISHAY","3","Bottom, Bottom, Top","293D106X9016A2TE3"
"C9","4u7","Tantalum SMT Capacitor 4u7F Case KEMET_A","KEMET","1","Top","T491A475K010AT"
"C10, C16, C26, C27, C28, C31, C40, C41, C43, C61","100n","MLCC SMT Capacitor 100nF 0603","WALSIN","10","Top, Top, Top, Top, Top, Top, Top, Top, Top, Bottom","0603B104K500CT"
"C12","4u7","MLCC SMT Capacitor 4u7F 0603","MULTICOMP","1","Top","MC0603X475K6R3CT"
"C13, C14, C36, C37, C38, C39, C52","10u","MLCC SMT Capacitor 10uF 0603","MULTICOMP","7","Bottom, Bottom, Bottom, Top, Bottom, Bottom, Top","MC0603X106M6R3CT"
"C15","10n","MLCC SMT Capacitor 10nF 1206","MULTICOMP","1","Bottom","MC1206B103K631CT"
"C18","10u","Tantalum SMT Capacitor 10uF Case KEMET_C","KEMET","1","Top","T491C106K025AT"
"C19, C20, C21, C22, C24, C25, C49, C50, C53, C54, C55, C56, C57, C58, C59, C60","100n","MLCC SMT Capacitor 100nF 0402","MULTICOMP","16","Bottom, Bottom, Bottom, Bottom, Bottom, Bottom, Bottom, Bottom, Top, Top, Top, Top, Top, Top, Top, Top","MC0402X104M100CT"
"C23","1n","MLCC SMT Capacitor 1nF 1206","AVX","1","Top","12061A102JAT2A"
"C29, C30","47p","MLCC SMT Capacitor 47pF 0402","KEMET","2","Top","C0402C470J5GACTU"
"C33","100u","Tantalum SMT Capacitor 100uF Case KEMET_A","VISHAY","1","Bottom","298D107X06R3A2T"
"C34, C42","1u","MLCC SMT Capacitor 1uF 0603","MULTICOMP","2","Bottom, Top","MC0603X105M6R3CT"
"C51","80mF","CAP 80MF 3.3V SURFACE MOUNT","SEIKO","1","Top","XH414HG-IV01E"
"D1, D2, D18","TPD2E009DRTR","ESD Suppressors 2-CH","Texas Instruments","3","Bottom, Bottom, Top","TPD2E009DRTR"
"D3","MBRS540T3G","ON SEMICONDUCTOR  MBRS540T3G  Rectifier Diode, Single, 40 V, 5 A, 500 mV, 190 A","ON SEMICONDUCTOR","1","Top","MBRS540T3G"
"D4","SMBJ20CA-TR","DIODE, TVS, 20V, 600W","STMICROELECTRONICS","1","Bottom","SMBJ20CA-TR"
"D7","1N4148WS","Diode small signal","MULTICOMP","1","Top","1N4148WS"
"D8","TPD6E05U06","ESD Suppressors 6-CH Pass through layout","Texas Instruments","1","Top","TPD6E05U06RVZR"
"F1","3.0A","3.0A, 6V, PTC Resettabe Fuse","BOURNS","1","Bottom","MF-LSMF300X-2"
"HDMI","Molex-04765-1000","HDMI connector vertical","Molex","1","Top","47659-1000"
"IC1","LT3976EMSE#PBF","LINEAR TECHNOLOGY  LT3976EMSE#PBF  DC-DC CONVERTER, 2MHZ, 5A, MSOP-16","LINEAR TECHNOLOGY","1","Top","LT3976EMSE#PBF"
"IC2","TPD8S009","8-Channel ESD Protection for DisplayPort and HDMI","TEXAS INSTRUMENTS","1","Top","TPD8S009DSMR"
"IC3","LP2992AIM5-1.8","LDO 1.8V 250mA","TEXAS INSTRUMENTS","1","Top","LP2992AIM5-1.8/NOPB"
"IC4","LM3671MF-1.5","DC/DC Buck Converter","TEXAS INSTRUMENTS","1","Bottom","LM3671MF-1.5/NOPB"
"IC5, IC7","AP1117E33G-13","IC, LDO, REG, 3.3V, SOT223","DIODES INC.","2","Bottom, Top","AP1117E33G-13"
"IC6","PCA9517ATP","I2C BUS REPEATER W/ LEVEL TRANS, HWSON-8","NXP","1","Top","PCA9517ATP"
"IC8","SEAM-50-02.0-S-08-2-A-K-TR","TX1 module (board connector)","Samtec","1","Top","SEAM-50-02.0-S-08-2-A-K-TR"
"IC9","FT232RQ","USB to serial UART interface","FTDI","1","Top","FT232RQ-REEL"
"IC10","NCP380HSNAJAAT1G","POWER LOAD SWITCH, HIGH SIDE","ON Semiconductor","1","Bottom","NCP380HSNAJAAT1G"
"IC11","LM3881","TEXAS INSTRUMENTS  LM3881MME/NOPB  Power Sequencer, 3-Monitors, 2.7V-5.5Vin,VSSOP-8","TEXAS INSTRUMENTS","1","Top","LM3881MME"
"IC12","SN74LVC1G86DCKR","2 input XOR gate","Texas Instruments","1","Top","SN74LVC1G86DCKR"
"IC13","CBTL02042ABQ","IC MUX/DEMUX 2:1 PCI 20DHVQFN","NXP Semiconductors","1","Bottom","CBTL02042ABQ,115"
"IC14","TCA9554ADBQR","Remote 8bit I2C SMBus I/O expander","Texas Instruments","1","Top","TCA9554ADBQR"
"IC15","RM24C128DS-LTAI-B","EEPROM with UID and OTP registers.","Adesto","1","Top","RM24C128DS-LTAI-B"
"J1","WE_694106402002","WURTH ELEKTRONIK 	694106402002  POWER ENTRY, JACK, 2MM, VERTICAL THT, 3A","WURTH ELEKTRONIK","1","Top","694106402002"
"J2","QSE-040-01-L-D-A","SAMTEC 	QSE-040-01-L-D-A  Stacking Board Connector, Dual Row, QSE Series, Receptacle, 0.8 mm, 80 Contacts, Surface Mount","SAMTEC","1","Bottom","QSE-040-01-L-D-A"
"J3","WE_634108149621","Modular Connectors / Ethernet Connectors WR-MJ Mod Jk 8P8C Solder Tab w/Mylar","WURTH ELEKTRONIK","1","Top","634108149621"
"J4","WE_692121430000","WURTH ELEKTRONIK 	692121430000  USB Connector, USB Type A, USB 3.0, Receptacle, 9 Ways, PCB Mount, Vertical","WURTH ELEKTRONIK","1","Top","692121430000"
"J5","Molex_67910-5700","PCIe Mini Card Holder 4mm","Molex","1","Bottom","67910-5700"
"J6","653104131822","HEADER 4POS MALE HORIZ 1.25MM SMD","WURTH ELEKTRONIK","1","Bottom","653104131822"
"L1","IHLP2525CZER3R3M01","3.3 uH, +/- 20%, Shielded, 0.02 ohm, 8 A","VISHAY","1","Top","IHLP2525CZER3R3M01"
"L3","742792022","WURTH ELEKTRONIK - 742792022 - FERRITE BEAD, 0.05OHM, 2A, 0805","WURTH ELEKTRONIK","1","Top","742792022"
"L4","BLM18SG121TN1D","FERRITE BEAD, 0.025OHM, 3A, 0603","MURATA","1","Top","BLM18SG121TN1D"
"L5, L9, L10, L11, L13","DLW21SN900SQ2","Common mode choke","MURATA","5","Top, Top, Top, Bottom, Bottom","DLW21SN900SQ2L"
"L6","BLM18EG221SN1D","MURATA 	BLM18EG221SN1D  FERRITE BEAD, 0.05OHM, 2A, 0603","MURATA","1","Bottom","BLM18EG221SN1D"
"L7, L12","BLM18PG330SN1D","MURATA 	BLM18PG330SN1D  FERRITE BEAD, 0.025OHM, 3A, 0603","MURATA","2","Top, Bottom","BLM18PG330SN1D"
"L8","LQH3NPN2R2NM0L","INDUCTOR, 2.2 uH, +/- 30%, 1212, 90 MHz, 0.073 ohm","MURATA","1","Bottom","LQH3NPN2R2NM0L"
"LED2","KPT-1608EC","LED Red 0603 case","KINGBRIGHT","1","Top","KPT-1608EC"
"M1, M2, M3, M4","9774110360","M3x11.6","WURTH ELEKTRONIK","4","Bottom","9774110360"
"M6, M7","9774030360","M3x3","WURTH ELEKTRONIK","2","Bottom","9774030360"
"M8, M9, M10, M11","","","Dremec","4","None","316/3.2x07"
"On/Off, REC","TL3340AF160QG","E-SWITCH  TL3340AF160QG  SWITCH, TACTILE SPST 50mA, SMD GULL WING","E-SWITCH","2","Top, Bottom","TL3340AF160QG"
